city1,city2
"Bangor, ME","New York City, NY (Metropolitan Area)"
"Milwaukee, WI","Philadelphia, PA"
"Milwaukee, WI","San Francisco, CA (Metropolitan Area)"
"Buffalo, NY","Minneapolis/St. Paul, MN"
"Denver, CO","Portland, ME"
"Bend/Redmond, OR","Seattle, WA"
"Portland, OR","St. Louis, MO"
"Asheville, NC","Chicago, IL"
"Bozeman, MT","Dallas/Fort Worth, TX"
"Bozeman, MT","Washington, DC (Metropolitan Area)"
"Pensacola, FL","Philadelphia, PA"
"Buffalo, NY","San Francisco, CA (Metropolitan Area)"
"Cleveland, OH (Metropolitan Area)","Myrtle Beach, SC"
"Minneapolis/St. Paul, MN","Reno, NV"
"Boston, MA (Metropolitan Area)","Grand Rapids, MI"
"Albany, NY","Los Angeles, CA (Metropolitan Area)"
"Albany, NY","Denver, CO"
"Detroit, MI","Hartford, CT"
"Reno, NV","Washington, DC (Metropolitan Area)"
"Columbus, OH","San Diego, CA"
"Denver, CO","Missoula, MT"
"Minneapolis/St. Paul, MN","Spokane, WA"
"Atlanta, GA (Metropolitan Area)","Portland, ME"
"Asheville, NC","Tampa, FL (Metropolitan Area)"
"El Paso, TX","Orlando, FL"
"Little Rock, AR","Los Angeles, CA (Metropolitan Area)"
"Chicago, IL","Colorado Springs, CO"
"Cleveland, OH (Metropolitan Area)","Raleigh/Durham, NC"
"Dallas/Fort Worth, TX","Harlingen/San Benito, TX"
"Los Angeles, CA (Metropolitan Area)","Madison, WI"
"Asheville, NC","Denver, CO"
"Chicago, IL","Little Rock, AR"
"Boston, MA (Metropolitan Area)","Knoxville, TN"
"Denver, CO","Fargo, ND"
"Los Angeles, CA (Metropolitan Area)","Syracuse, NY"
"Norfolk, VA (Metropolitan Area)","Seattle, WA"
"Louisville, KY","San Francisco, CA (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Little Rock, AR"
"Omaha, NE","Tampa, FL (Metropolitan Area)"
"Minneapolis/St. Paul, MN","Myrtle Beach, SC"
"Tampa, FL (Metropolitan Area)","Trenton, NJ"
"Nashville, TN","Savannah, GA"
"Birmingham, AL","Las Vegas, NV"
"Little Rock, AR","Washington, DC (Metropolitan Area)"
"Hartford, CT","Jacksonville, FL"
"Sacramento, CA","St. Louis, MO"
"Kansas City, MO","San Antonio, TX"
"Charleston, SC","Las Vegas, NV"
"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)"
"Jacksonville, FL","San Diego, CA"
"Fort Myers, FL","Syracuse, NY"
"Trenton, NJ","West Palm Beach/Palm Beach, FL"
"Fort Myers, FL","Seattle, WA"
"Latrobe, PA","Orlando, FL"
"Charleston, SC","Tampa, FL (Metropolitan Area)"
"Sarasota/Bradenton, FL","St. Louis, MO"
"Fort Myers, FL","Trenton, NJ"
"Charleston, SC","Phoenix, AZ"
"Hartford, CT","Vero Beach, FL"
"Grand Rapids, MI","Houston, TX"
"New Haven, CT","Sarasota/Bradenton, FL"
"Salt Lake City, UT","Spokane, WA"
"Fort Myers, FL","San Francisco, CA (Metropolitan Area)"
"San Diego, CA","Tucson, AZ"
"Charlotte, NC","Jacksonville, FL"
"Miami, FL (Metropolitan Area)","Savannah, GA"
"Asheville, NC","Sanford, FL"
"New Haven, CT","Raleigh/Durham, NC"
"Las Vegas, NV","Santa Barbara, CA"
"Eugene, OR","Las Vegas, NV"
"Boston, MA (Metropolitan Area)","Rochester, NY"
"Denver, CO","Fresno, CA"
"El Paso, TX","San Francisco, CA (Metropolitan Area)"
"Colorado Springs, CO","Houston, TX"
"Des Moines, IA","Houston, TX"
"El Paso, TX","Seattle, WA"
"Everett, WA","San Francisco, CA (Metropolitan Area)"
"Chicago, IL","Fresno, CA"
"Bellingham, WA","San Francisco, CA (Metropolitan Area)"
"Santa Rosa, CA","Seattle, WA"
"Denver, CO","Sioux Falls, SD"
"Denver, CO","Eugene, OR"
"Burlington, VT","Chicago, IL"
"Albuquerque, NM","Boston, MA (Metropolitan Area)"
"Belleville, IL","Valparaiso, FL"
"Cincinnati, OH","Sanford, FL"
"Atlantic City, NJ","Tampa, FL (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Rochester, NY"
"Charleston, SC","Hartford, CT"
"New Orleans, LA","Richmond, VA"
"Las Vegas, NV","Sioux Falls, SD"
"Billings, MT","Phoenix, AZ"
"Boise, ID","Salt Lake City, UT"
"Houston, TX","Reno, NV"
"Harrisburg, PA","Sanford, FL"
"Houston, TX","Tucson, AZ"
"Minneapolis/St. Paul, MN","Punta Gorda, FL"
"Fargo, ND","Las Vegas, NV"
"Punta Gorda, FL","Rockford, IL"
"Memphis, TN","Tampa, FL (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Jackson/Vicksburg, MS"
"Raleigh/Durham, NC","San Antonio, TX"
"Jacksonville, FL","St. Louis, MO"
"Houston, TX","Jackson/Vicksburg, MS"
"El Paso, TX","Miami, FL (Metropolitan Area)"
"Medford, OR","Seattle, WA"
"Nashville, TN","St. Louis, MO"
"Atlantic City, NJ","Myrtle Beach, SC"
"Miami, FL (Metropolitan Area)","Myrtle Beach, SC"
"Atlanta, GA (Metropolitan Area)","Trenton, NJ"
"Bellingham, WA","Los Angeles, CA (Metropolitan Area)"
"Charlotte, NC","Syracuse, NY"
"Burlington, VT","Denver, CO"
"El Paso, TX","San Diego, CA"
"Columbus, OH","Nashville, TN"
"Denver, CO","Wichita, KS"
"Fort Myers, FL","Louisville, KY"
"Jackson, WY","Los Angeles, CA (Metropolitan Area)"
"Punta Gorda, FL","South Bend, IN"
"Salt Lake City, UT","Tucson, AZ"
"Portland, ME","Tampa, FL (Metropolitan Area)"
"Bozeman, MT","Las Vegas, NV"
"Fort Myers, FL","Portland, ME"
"Peoria, IL","Punta Gorda, FL"
"Reno, NV","Salt Lake City, UT"
"Bangor, ME","Tampa, FL (Metropolitan Area)"
"Cedar Rapids/Iowa City, IA","Tampa, FL (Metropolitan Area)"
"Fort Wayne, IN","Tampa, FL (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","Oklahoma City, OK"
"Knoxville, TN","Orlando, FL"
"Fort Myers, FL","Omaha, NE"
